OBJECTID;equipamien;x;y;identifica;codvia;numportal;telefono;geo_shape;geo_point_2d
23945;GESTIÓN GERONTOLÓGICA NUEVO AMANECER S.L. (AMA);724871.629;4371225.198;009642;33900;14;963803685;"{""coordinates"": [-0.38620241135668787, 39.461249983024175], ""type"": ""Point""}";39.461249983024175, -0.38620241135668787
23947;CLUB DE JUBILADOS Y PENSIONISTAS JESÚS-LA RAIOSA;724778.34;4370596.64;003504;73470;S/N;963774748;"{""coordinates"": [-0.38749735370028465, 39.45561654167152], ""type"": ""Point""}";39.45561654167152, -0.38749735370028465
23958;CENTRO DE TERCERA EDAD JORGE JUAN;726323.912;4372090.576;003419;38580;24;963510772;"{""coordinates"": [-0.3690449217710628, 39.46865884940565], ""type"": ""Point""}";39.46865884940565, -0.3690449217710628
23960;CENTRO SOCIAL SENABRE;724649.751;4370323.765;003486;43290;30;963570859;"{""coordinates"": [-0.3890822466170426, 39.45319385830225], ""type"": ""Point""}";39.45319385830225, -0.3890822466170426
24017;RESIDENCIA PERSONAS MAYORES DEPENDIENTES COMUNIDAD DE VALENCIA PESET;724648.585;4374319.659;009667;53640;130;963173094;"{""coordinates"": [-0.3877501770427523, 39.489162184224774], ""type"": ""Point""}";39.489162184224774, -0.3877501770427523
21883;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES CANYAMELAR - CABANYAL;729880.17;4371903.17;007844;24360;48;963365800;"{""coordinates"": [-0.3278107140220196, 39.466029699435055], ""type"": ""Point""}";39.466029699435055, -0.3278107140220196
23604;CENTRO DE DÍA MUNICIPAL PARA PERSONAS MAYORES DEPENDIENTES LA AMISTAD;727860.23523247;4372542.5714549;007829;77940;12;962082746;"{""coordinates"": [-0.3510490326478857, 39.47232195994289], ""type"": ""Point""}";39.47232195994289, -0.3510490326478857
23605;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES MARCHALENES;725467.39126377;4374219.22927225;003452;60240;S/N;963486461;"{""coordinates"": [-0.380002500202514, 39.48705000038275], ""type"": ""Point""}";39.48705000038275, -0.380002500202514
24077;OFICINA MUNICIPAL DE ATENCIÓN A LAS PERSONAS MAYORES - OMAM;726891.03728521;4372753.96592258;005475;5100;11;962082437;"{""coordinates"": [-0.36223315623839714, 39.4744807669289], ""type"": ""Point""}";39.4744807669289, -0.36223315623839714
24104;ASOCIACIÓN HOGARES COMPARTIDOS;723155.311;4372297.908;009859;6330;2;608224866;"{""coordinates"": [-0.40577406035015334, 39.47135238199575], ""type"": ""Point""}";39.47135238199575, -0.40577406035015334
24110;ASOCIACIÓN CENTRO DE TIEMPO LIBRE DE TERCERA EDAD DE SAN MARCELINO;724460.923;4369467.251;001409;63870;9;963284006;"{""coordinates"": [-0.3915625801114494, 39.44553334973588], ""type"": ""Point""}";39.44553334973588, -0.3915625801114494
24111;ASOCIACIÓN DE JUBILADOS Y PENSIONISTAS DE LA COMUNIDAD VALENCIANA SAN VICENTE;723889.891;4371555.621;001412;80340;2;963540036;"{""coordinates"": [-0.3974917445720669, 39.46448006157036], ""type"": ""Point""}";39.46448006157036, -0.3974917445720669
24112;ASOCIACIÓN DE JUBILADOS Y PENSIONISTAS SAN JUAN DE DIOS DEL COLEGIO DE ENFERMERÍA VALENCIA;727566.4;4372874.147;001413;900;64;963937015;"{""coordinates"": [-0.35434842641478786, 39.47538420732277], ""type"": ""Point""}";39.47538420732277, -0.35434842641478786
24113;CLUB DE JUBILADOS Y PENSIONISTAS MONTEOLIVETE;727041.191;4370986.995;003508;34080;11;963953886;"{""coordinates"": [-0.3610904655823802, 39.458536570453425], ""type"": ""Point""}";39.458536570453425, -0.3610904655823802
24170;RESIDENCIA L'ACOLLIDA-PARROQUIA ESPIRITU SANTO;728889.06;4372338.96;006789;21420;S/N;963722337;"{""coordinates"": [-0.33917049324433457, 39.47021632382146], ""type"": ""Point""}";39.47021632382146, -0.33917049324433457
24243;FOMCOVA. FEDERACIÓN DE ORGANIZACIONES DE MAYORES DE LA COMUNIDAD VALENCIANA;725878.241;4372782.775;009619;7650;22;963910758;"{""coordinates"": [-0.3739862426004726, 39.47500648909082], ""type"": ""Point""}";39.47500648909082, -0.3739862426004726
24275;CLUB DE JUBILADOS Y PENSIONISTAS JESÚS-FINCA ROJA;724646.811;4371511.427;003503;22020;80;963325196;"{""coordinates"": [-0.38871669514142254, 39.46388508953769], ""type"": ""Point""}";39.46388508953769, -0.38871669514142254
24284;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES SALVADOR ALLENDE;725913.11487225;4375003.98482929;003463;20010;5;962084375;"{""coordinates"": [-0.37282849331887025, 39.49499069847438], ""type"": ""Point""}";39.49499069847438, -0.37282849331887025
24286;GERORESIDENCIAS, S.L.;723268.332;4373496.033;009640;33030;67;902200171;"{""coordinates"": [-0.4040603325240069, 39.4821078150189], ""type"": ""Point""}";39.4821078150189, -0.4040603325240069
24362;GERISERVIS;;;010008;71070;9;963919586;;
24382;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES BENIFARAIG;724689.46729907;4378766.10471196;003425;30060;47;963635249;"{""coordinates"": [-0.3857748149096954, 39.52917473189608], ""type"": ""Point""}";39.52917473189608, -0.3857748149096954
24384;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES EL PERELLONET;733003.30732019;4354412.59042811;003435;32880;33;961776450;"{""coordinates"": [-0.297627414443612, 39.30776284701303], ""type"": ""Point""}";39.30776284701303, -0.297627414443612
24391;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES ARRANCAPINS;725038.47;4371930.74;003472;36000;S/N;963222305;"{""coordinates"": [-0.384027098955287, 39.46755717891182], ""type"": ""Point""}";39.46755717891182, -0.384027098955287
24418;AMMCOVA - ASOCIACIÓN DE MUJERES MASTECTOMIZADAS (Y AFECTADAS DE CÁNCER DE MAMA) DE LA COMUNIDAD VALENCIANA;725814.446;4372026.568;001447;0;100;963523696;"{""coordinates"": [-0.3749831569399374, 39.46821649995567], ""type"": ""Point""}";39.46821649995567, -0.3749831569399374
24436;RESIDENCIA DE 3ª EDAD SAVIA-CAMPANAR;723260.927;4373381.003;009427;81645;5;961107595;"{""coordinates"": [-0.40418486452787294, 39.48107431217964], ""type"": ""Point""}";39.48107431217964, -0.40418486452787294
21875;CENTRO DE DÍA PARA PERSONAS MAYORES DEPENDIENTES BON DIA;726491.68;4370777.57;009576;62280;S/N;963958708;"{""coordinates"": [-0.3675422244002233, 39.45679618998838], ""type"": ""Point""}";39.45679618998838, -0.3675422244002233
21876;S.T. SERVICIOS DE TELEASISTENCIA;727326.778;4372462.209;009449;81310;30;963378370;"{""coordinates"": [-0.35727184247994564, 39.47173967461125], ""type"": ""Point""}";39.47173967461125, -0.35727184247994564
21888;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES PATRAIX;724178.52;4371374.4;007843;66480;S/N;962087908;"{""coordinates"": [-0.3942008703772036, 39.462773691705195], ""type"": ""Point""}";39.462773691705195, -0.3942008703772036
21892;CARE VALENCIA;724906.277;4374720.268;001958;68190;35;963497433;"{""coordinates"": [-0.3846214273693938, 39.492700803657826], ""type"": ""Point""}";39.492700803657826, -0.3846214273693938
21914;CENTRO DE DÍA PARA PERSONAS MAYORES DEPENDIENTES ALDEBARÁN;725168.199;4373032.765;009574;23880;6;963917118;"{""coordinates"": [-0.38214855289651833, 39.47744276086263], ""type"": ""Point""}";39.47744276086263, -0.38214855289651833
21932;CLUB DE JUBILADOS Y PENSIONISTAS BENICALAP;724449.226;4374448.81;003473;38940;33;963400529;"{""coordinates"": [-0.39002260586210796, 39.49037674344338], ""type"": ""Point""}";39.49037674344338, -0.39002260586210796
21981;CLUB DE JUBILADOS Y PENSIONISTAS DE BENIMACLET;727170.605;4374004.106;003474;74430;22;963627284;"{""coordinates"": [-0.35856033027670314, 39.485659552395184], ""type"": ""Point""}";39.485659552395184, -0.35856033027670314
22008;DIRECCIÓN GENERAL DE SERVICIOS SOCIALES;723309.73;4372416.28;003494;17160;77;963176708;"{""coordinates"": [-0.40394103986215674, 39.472377875576385], ""type"": ""Point""}";39.472377875576385, -0.40394103986215674
23546;CENTRO GERIÁTRICO JARDINES DEL PARTERRE;726169.739;4372557.784;003420;2460;1;963942044;"{""coordinates"": [-0.3706769793170832, 39.47290476471461], ""type"": ""Point""}";39.47290476471461, -0.3706769793170832
23548;CENTRO DE DÍA PARA PERSONAS MAYORES DEPENDIENTES GERISER BULEVAR;723375.149;4370197.422;009577;81020;28;963587253;"{""coordinates"": [-0.40392385896271105, 39.452388110337814], ""type"": ""Point""}";39.452388110337814, -0.40392385896271105
23553;NUEVA SOLUCIÓN GERIÁTRICA S.L. (ALBALAR);724752.785;4371988.584;009600;12330;19;963818863;"{""coordinates"": [-0.3873253444596849, 39.46815243926935], ""type"": ""Point""}";39.46815243926935, -0.3873253444596849
23554;AULAS TERCERA EDAD GRAO;728737.535;4371537.044;009539;38610;6;963363695;"{""coordinates"": [-0.3412051151957733, 39.46303860390333], ""type"": ""Point""}";39.46303860390333, -0.3412051151957733
23607;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES  ARNICHES;722687.95135281;4371923.27872767;003423;22680;2;963831939;"{""coordinates"": [-0.4113270520553769, 39.46810123210774], ""type"": ""Point""}";39.46810123210774, -0.4113270520553769
23627;FUNDACIÓN AGM. AMICS DE LA GENT MAJOR;724688.067;4372239.933;009387;28080;22;963841851;"{""coordinates"": [-0.38799228802776575, 39.47043178791811], ""type"": ""Point""}";39.47043178791811, -0.38799228802776575
23658;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES BENIFERRI;722967.51990159;4374693.88578619;007839;81639;1;618803940;"{""coordinates"": [-0.4071538282384812, 39.492968119641326], ""type"": ""Point""}";39.492968119641326, -0.4071538282384812
23661;RESIDENCIA BALLESOL II;725615.32;4373061.4;006780;71070;S/N;963910781;"{""coordinates"": [-0.3769456855578158, 39.47758341212847], ""type"": ""Point""}";39.47758341212847, -0.3769456855578158
23663;CENTRO MUNICIPAL ATENCIÓN PERSONAS MAYORES LA AMISTAD;727955.55742371;4372589.63909854;003568;0;12;962082740;"{""coordinates"": [-0.34992590748424257, 39.47272037353057], ""type"": ""Point""}";39.47272037353057, -0.34992590748424257
23674;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES PARE JOFRE;724500.474;4370841.675;007841;81167;3;961333964;"{""coordinates"": [-0.3906413279352017, 39.457894637344666], ""type"": ""Point""}";39.457894637344666, -0.3906413279352017
23678;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES POBLE NOU;724915.74;4376006.59;003460;49500;205;963666689;"{""coordinates"": [-0.3840771958538934, 39.50427672391753], ""type"": ""Point""}";39.50427672391753, -0.3840771958538934
23689;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES RUZAFA;725855.91929912;4371040.28254404;003658;21930;63;963812337;"{""coordinates"": [-0.37483530781972724, 39.45932790838267], ""type"": ""Point""}";39.45932790838267, -0.37483530781972724
23691;ANDE.COMUNIDAD VALENCIANA;725820.024;4374869.601;010138;1950;9;607645768;"{""coordinates"": [-0.37395553406185794, 39.493805544199674], ""type"": ""Point""}";39.493805544199674, -0.37395553406185794
23728;VITALHOGAR;727016.583;4371420.804;010006;38670;87;963163866;"{""coordinates"": [-0.36122865691191364, 39.4624478015321], ""type"": ""Point""}";39.4624478015321, -0.36122865691191364
23807;CLUB DE JUBILADOS Y PENSIONISTAS GASPAR AGUILAR-LA ZAFRANERA;724395.729;4370146.358;003502;51840;14;963780279;"{""coordinates"": [-0.3920912835946674, 39.451663183796505], ""type"": ""Point""}";39.451663183796505, -0.3920912835946674
23815;PEJUVEVAL. ASOCIACIÓN DE JUBILADOS Y DE PENSIONADOS DE VENEZUELA EN LA COMUNIDAD VALENCIANA;723285.132;4374685.812;010196;81588;6;645350248;"{""coordinates"": [-0.40346663838487956, 39.49281304776752], ""type"": ""Point""}";39.49281304776752, -0.40346663838487956
23887;CENTRO DE TERCERA EDAD CABAÑAL;729523.339;4372580.683;003418;58530;4;963718011;"{""coordinates"": [-0.3317213726937779, 39.47222311438202], ""type"": ""Point""}";39.47222311438202, -0.3317213726937779
23589;CENTRO DE DÍA MUNICIPAL PARA PERSONAS MAYORES DEPENDIENTES ARNICHES;;;007828;81140;12;963790742;"{""coordinates"": [-0.40990710092322935, 39.47221135875678], ""type"": ""Point""}";39.47221135875678, -0.40990710092322935
23660;CENTRO DE DÍA MUNICIPAL PARA PERSONAS MAYORES DEPENDIENTES LA PURÍSIMA;726789.94751723;4374407.04098351;007847;7770;20;962082665;"{""coordinates"": [-0.36284495630237135, 39.48938681605054], ""type"": ""Point""}";39.48938681605054, -0.36284495630237135
24172;CLUB DE JUBILADOS Y PENSIONISTA DEHESA-FUENTE SAN LUIS;726551.988;4369218.687;003499;6960;7;963332873;"{""coordinates"": [-0.3673707598151365, 39.44274865444781], ""type"": ""Point""}";39.44274865444781, -0.3673707598151365
24337;RESIDENCIA TERCERA EDAD NUESTRA SEÑORA DEL PUIG;726982.444;4373709.047;006794;22050;5;963601081;"{""coordinates"": [-0.3608464636140173, 39.483053383615065], ""type"": ""Point""}";39.483053383615065, -0.3608464636140173
24347;RESIDENCIA Y CENTRO DE DÍA PARA PERSONAS MAYORES DEPENDIENTES VELLUTERS;;;009671;8460;S/N;963152023;;
24354;CENTRO DE DÍA GEROGARDEN;;;003796;37470;S/N;963237704;;
24383;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES CRUZ CUBIERTA;724746.72590646;4369688.88767314;003430;73020;17 y 19;963788426;"{""coordinates"": [-0.388169949937851, 39.447453853728824], ""type"": ""Point""}";39.447453853728824, -0.388169949937851
24385;INICIATIVA SOCIAL INTEGRAL PER AL BENESTAR S.L.U;725417.756;4372267.123;009649;8790;37;963945113;"{""coordinates"": [-0.37950874244400434, 39.47048574851441], ""type"": ""Point""}";39.47048574851441, -0.37950874244400434
24446;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES VIRGEN DE LOS DESAMPARADOS;723937.74227088;4371708.26002845;003466;51420;S/N;962084692;"{""coordinates"": [-0.3968848336811509, 39.46584156819919], ""type"": ""Point""}";39.46584156819919, -0.3968848336811509
21870;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES SANT MARCEL.LÍ;724623.27;4369162.24;003651;67020;S/N;962082883;"{""coordinates"": [-0.389780327197617, 39.442745512539155], ""type"": ""Point""}";39.442745512539155, -0.389780327197617
21878;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES SAN ISIDRO;723275.42128116;4370277.81527797;003464;81020;S/N;963574205;"{""coordinates"": [-0.4050549020161039, 39.45313762003289], ""type"": ""Point""}";39.45313762003289, -0.4050549020161039
21879;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES SAN JOSE;728157.2666533;4373150.51465353;003465;81437;8;963621757;"{""coordinates"": [-0.3473914522932878, 39.477715336855084], ""type"": ""Point""}";39.477715336855084, -0.3473914522932878
21885;CENTRO DE DÍA ABASTOS;724717.182;4371633.166;007398;22020;68;963380711;"{""coordinates"": [-0.3878585090094927, 39.464962528504806], ""type"": ""Point""}";39.464962528504806, -0.3878585090094927
21889;AULAS DE TERCERA EDAD;726704.262;4371813.067;001438;12600;39;963334877;"{""coordinates"": [-0.36472212286315797, 39.46606088494316], ""type"": ""Point""}";39.46606088494316, -0.36472212286315797
21890;CEAM DOCTOR WAKSMAN;726004.877;4370693.793;003412;25260;20;963732711;"{""coordinates"": [-0.37322295534723715, 39.45617001991109], ""type"": ""Point""}";39.45617001991109, -0.37322295534723715
21898;ACIERTA, SERVICIOS A LA COMUNIDAD SL;725041.894;4372390.357;007778;35100;44;963270880;"{""coordinates"": [-0.3838323090902536, 39.47169335317225], ""type"": ""Point""}";39.47169335317225, -0.3838323090902536
21909;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES SANT PAU;723710.58465071;4372929.61907588;003659;81251;S/N;963265781;"{""coordinates"": [-0.39911324782473295, 39.476894474324816], ""type"": ""Point""}";39.476894474324816, -0.39911324782473295
21916;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES CAMPANAR;723877.21;4373412.09;003428;25830;S/N;962082895;"{""coordinates"": [-0.39701597708512415, 39.48119403086665], ""type"": ""Point""}";39.48119403086665, -0.39701597708512415
21918;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES FUENTE DE SAN LUIS;726868.52880863;4370571.18761604;003441;81215;S/N;963737872;"{""coordinates"": [-0.363236635266973, 39.45483935836507], ""type"": ""Point""}";39.45483935836507, -0.363236635266973
21919;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES ORRIOLS;726100.78498325;4375152.99395033;003456;68370;3;962084665;"{""coordinates"": [-0.37059764493554653, 39.49628262385583], ""type"": ""Point""}";39.49628262385583, -0.37059764493554653
21923;LARES. ASOCIACIÓN DE RESIDENCIAS Y SERVICIOS DE ATENCIÓN A LOS MAYORES DE LA COMUNIDAD VALENCIANA - SECTOR SOLIDARIO;726354.29;4371941.422;009654;46320;49;963923643;"{""coordinates"": [-0.36874273500256444, 39.46730831073717], ""type"": ""Point""}";39.46730831073717, -0.36874273500256444
21937;FEDERACIÓN PROVINCIAL DE ASOCIACIONES DEMOCRÁTICAS DE JUBILADOS Y PENSIONISTAS-UDP;725684.186;4372037.409;001536;20670;12;963529340;"{""coordinates"": [-0.37649222981354596, 39.4683482415897], ""type"": ""Point""}";39.4683482415897, -0.37649222981354596
21961;CLUB DE JUBILADOS ASTILLEROS;729802.397;4373566.724;003470;44550;87;963725250;"{""coordinates"": [-0.3281407934663076, 39.48102381279483], ""type"": ""Point""}";39.48102381279483, -0.3281407934663076
21975;CENTRO MUNICIPAL DE ACTIVIDADES PARA PERSONAS MAYORES CASTELLAR-OLIVERAL;726969.8;4367632.6;003429;81441;1;963960430;"{""coordinates"": [-0.363059143421506, 39.42836212761404], ""type"": ""Point""}";39.42836212761404, -0.363059143421506
21982;FUNDACION DE XIQUET A MAJOR COMUNITAT VALENCIANA;724656.282;4371655.936;010007;57300;38;902365065;"{""coordinates"": [-0.38855806330153086, 39.46518338086568], ""type"": ""Point""}";39.46518338086568, -0.38855806330153086
22001;CLUB DE JUBILADOS Y PENSIONISTAS PATRAIX;724462.779;4371322.06;003509;81329;8;963803555;"{""coordinates"": [-0.3909174840017929, 39.462228543960485], ""type"": ""Point""}";39.462228543960485, -0.3909174840017929
22020;LA CRUZ AZUL;725672.828;4372388.287;005469;17760;13;902456456;"{""coordinates"": [-0.37650544502088734, 39.47150952889318], ""type"": ""Point""}";39.47150952889318, -0.37650544502088734
22022;RESIDENCIA SANTA TERESA DE JORNET;725829.376;4373541.771;006792;43680;1;963479250;"{""coordinates"": [-0.374296752380937, 39.48185113674573], ""type"": ""Point""}";39.48185113674573, -0.374296752380937
